Emp ID,Name,Job Titles,Date of Birth,Gender,Basic Salary (LKR),EPF Contribution,Phone Number,Address
E00024,"KWONG,  NORMAN P",SERGEANT,2/1/1971,F,"72,585.00",15%,761935724,27 Arkansas Place
E00025,"LEVEK,  NATHAN L",PARAMEDIC,11/21/1989,M,"117,332.00",11%,716154275,3 Shelley Alley
E00026,"MACK,  PAUL C",LIEUTENANT,7/18/1986,F,"104,531.00",14%,719116283,7 Fordem Road
E00027,"PETERS,  JOSEPH M",PARAMEDIC,11/11/1974,F,"103,315.00",15%,723226670,14 Green Court
E00028,"MOORE,  TED D",POLICE OFFICER,11/2/1970,F,"53,044.00",11%,714441724,772 Swallow Pass
E00029,"SIMON,  JOSEPH G",SERGEANT,8/11/1970,M,"55,396.00",12%,779830342,9 Coleman Lane
E00030,"MULLINS,  JOHN T",PARAMEDIC,9/29/1971,F,"72,278.00",10%,763891712,8 Mosinee Pass
E00031,"NICOL,  EDWARD R",SERGEANT,6/8/1980,M,"56,073.00",11%,718209404,82682 Mesta Road
E00032,"PEASLEE,  SEAN P",PARAMEDIC,6/30/1981,M,"83,831.00",15%,714211038,7 Macpherson Lane
E00033,"PESO,  JOANN M",DIR OF NUTRITION,3/10/1977,M,"67,976.00",13%,766484829,3 Memorial Junction
E00034,"SPIRES,  WAYNE E",CAPTAIN,11/10/1987,F,"136,401.00",14%,775567786,54 Grover Lane
E00035,"RICHARDSON,  BRIAN J",DEPUTY COMMISSIONER,6/13/1979,F,"136,193.00",11%,777781968,8583 Weeping Birch Crossing
E00036,"ROBINSON,  HAROLD ",POLICE OFFICER,6/1/1971,M,"130,607.00",15%,763581676,74264 Golf Course Circle
E00037,"RUIZ,  ERACLIO ",SERGEANT,11/21/1991,F,"127,015.00",8%,724317494,18 Brentwood Center
E00038,"SANTOS,  MICHAEL J",SERGEANT,2/27/1987,M,"70,714.00",12%,774916019,0081 Duke Crossing
E00039,"TOLEDO,  PETER H",SERGEANT,9/30/1977,F,"118,287.00",13%,71883099,377 Cherokee Lane
E00040,"VORTES,  VELMA ",CLERK IV,11/15/1983,M,"42,522.00",12%,761945710,63 Jackson Court
E00041,"SKOL,  LARRY W",SERGEANT,3/13/1990,F,"79,026.00",11%,722047588,5 Warner Hill
E00042,"SMITH,  KEVIN W",FIREFIGHTER,4/30/1977,M,"106,182.00",15%,762588147,9269 Eagan Center
E00043,"STRAKA,  SCOTT M",POLICE OFFICER,2/4/1974,M,"56,437.00",15%,71630634,43 Drewry Junction
E00044,"TRAGOS,  THOMAS J",CAPTAIN,10/8/1979,F,"79,158.00",13%,714989170,3381 Lindbergh Place
E00045,"VOSBURGH,  GRANT ",PARAMEDIC,4/20/1993,F,"99,151.00",15%,767417727,0 Talisman Hill
E00046,"VANEK,  AMANDA J",SERGEANT,4/14/1990,F,"93,992.00",9%,764991476,048 Blaine Drive
E00047,"VEGA,  ANA L",POLICE OFFICER,1/21/1983,M,"126,948.00",15%,724670965,92 Dryden Avenue
E00048,"WORD,  HOSEA ",SERGEANT,6/26/1984,M,"141,386.00",12%,726005474,87768 Messerschmidt Junction
E00049,"YARLING,  ZACHARY ",POLICE OFFICER,6/26/1991,M,"89,420.00",11%,727054170,45884 Dennis Alley
E00050,"AARON,  JEFFERY M",SERGEANT,10/10/1986,M,"140,839.00",12%,727758261,00164 Red Cloud Lane
E00051,"AARON,  KARINA ",POLICE OFFICER,4/8/1977,M,"47,862.00",13%,727558060,07515 Old Gate Parkway
E00052,"AARON,  KIMBERLEI R",CHIEF CONTRACT EXPEDITER,7/1/1978,F,"76,298.00",8%,768926505,70259 Bay Point
E00053,"ABAD JR,  VICENTE M",CIVIL ENGINEER IV,6/4/1988,M,"120,076.00",14%,716047442,299 Gale Hill
E00054,"ABARCA,  ANABEL ",SENIOR POLICY ANALYST,11/21/1974,M,"147,858.00",8%,712723476,7 Graedel Terrace
E00055,"ABBASI,  CHRISTOPHER ",STAFF ASST TO THE ALDERMAN,1/29/1990,F,"101,004.00",15%,727417512,0 Little Fleur Plaza
E00056,"ABBATACOLA,  ROBERT J",ELECTRICAL MECHANIC,4/20/1972,M,"98,085.00",9%,72431423,2826 Lakeland Point
E00057,"ABBATE,  JOSEPH L ",POOL MOTOR TRUCK DRIVER,7/23/1994,F,"51,632.00",13%,715461147,09719 Sachtjen Pass
E00058,"ABBATEMARCO,  JAMES J",FIRE ENGINEER-EMT,5/5/1989,F,"130,828.00",14%,761975346,9110 High Crossing Circle
E00059,"ABBATE,  TERRY M",POLICE OFFICER,4/4/1986,F,"142,935.00",15%,778500957,63 Sycamore Trail
E00060,"ABBRUZZESE,  WILLIAM J",INVESTIGATOR - IPRA II,4/22/1988,M,"123,142.00",13%,765335219,4819 Continental Trail
E00061,"ABDALLAH,  ZAID ",POLICE OFFICER,3/5/1976,M,"77,124.00",13%,767088452,7 Drewry Crossing
E00062,"ABDELHADI,  ABDALMAHD ",POLICE OFFICER,11/17/1984,M,"82,492.00",12%,715163868,179 Londonderry Place
E00063,"ABDELLATIF,  AREF R",FIREFIGHTER (PER ARBITRATORS AWARD)-PARAMEDIC,7/12/1978,M,"126,506.00",10%,716111760,830 Becker Trail
E00064,"ABDELMAJEID,  AZIZ ",POLICE OFFICER,10/10/1970,M,"110,061.00",13%,714394235,3 Jana Parkway
E00065,"ABDOLLAHZADEH,  ALI ",FIREFIGHTER/PARAMEDIC,7/8/1980,M,"111,881.00",13%,776361389,74457 Blackbird Park
E00066,"ABDUL-KARIM,  MUHAMMAD A",ENGINEERING TECHNICIAN VI,1/3/1975,M,"45,523.00",12%,712915331,39774 Maywood Avenue
E00067,"ABDULLAH,  DANIEL N",FIREFIGHTER-EMT,10/6/1985,F,"125,068.00",14%,717234560,5 Meadow Vale Way
E00068,"ABDULLAH,  KEVIN ",LIEUTENANT,1/27/1970,F,"109,685.00",12%,773815275,4 Brown Way
E00069,"ABDULLAH,  RASHAD ",ELECTRICAL MECHANIC-AUTO-POLICE MTR MNT,12/5/1974,M,"87,654.00",12%,769359510,5094 Onsgard Junction
E00070,"ABDULSATTAR,  MUDHAR ",CIVIL ENGINEER II,4/7/1994,M,"113,018.00",12%,766666058,58860 Farmco Street
E00071,"ABDUL-SHAKUR,  TAHIR ",GENERAL LABORER - DSS,12/13/1988,F,"141,189.00",14%,711188598,9861 Mosinee Court
E00072,"ABEJERO,  JASON V",POLICE OFFICER,9/6/1977,M,"86,932.00",11%,767414240,30561 Oak Center
E00073,"ABERCROMBIE IV,  EARL S",PARAMEDIC I/C,5/3/1993,M,"48,510.00",14%,724850362,11257 Bellgrove Alley
E00074,"ABERCROMBIE,  TIMOTHY ",MOTOR TRUCK DRIVER,7/5/1983,F,"133,818.00",15%,71221342,41610 Pearson Pass
E00075,"ABNEY,  PATRICK ",POLICE OFFICER,5/10/1971,F,"139,120.00",14%,764463288,88671 Express Plaza
E00076,"ABOUELKHEIR,  HASSAN A",SENIOR PROGRAMMER/ANALYST,2/22/1973,M,"56,501.00",12%,726044258,4163 Porter Alley
E00077,"ABRAHAM,  GIRLEY T",CIVIL ENGINEER IV,6/5/1989,F,"54,068.00",8%,721306760,98592 Manitowish Park
E00078,"ABRAHAM,  GODWIN K",ENGINEERING TECHNICIAN V,5/13/1989,F,"120,777.00",8%,711931731,5235 Stoughton Way
E00079,"ABRAHAM,  NANCY A",POLICE OFFICER,6/18/1987,F,"129,147.00",15%,767532796,59841 Vidon Terrace
E00080,"ABRAM,  ANTHONY A",POLICE OFFICER,7/28/1987,M,"81,467.00",8%,727113941,57516 Maple Terrace
E00081,"ABRAMAVICIUS,  ANNA A",SUPERVISING TRAFFIC CONTROL AIDE,3/22/1972,F,"93,282.00",9%,727758357,8192 Calypso Road
E00082,"ABRAMS,  DANIELLE T",SANITATION LABORER,10/19/1975,F,"135,445.00",9%,767051478,7629 Carberry Point
E00083,"ABRAMSKI,  JOHN E",AMBULANCE COMMANDER,11/4/1978,F,"63,368.00",8%,768888554,22675 Oakridge Center
E00084,"ABRAMSON,  NICHOLAS ",POLICE OFFICER,7/7/1973,M,"119,519.00",11%,721064540,8093 Florence Alley
E00085,"ABRAMS,  SAMUEL A",POOL MOTOR TRUCK DRIVER,11/6/1981,F,"46,851.00",14%,727904785,45758 Kenwood Trail
E00086,"ABRATANSKI,  MARK A",FIREFIGHTER-EMT,3/21/1988,F,"120,426.00",8%,713516959,398 Forster Street
E00087,"ABREU,  DILAN ",SEWER BRICKLAYER,9/18/1984,F,"57,180.00",10%,713413251,728 Surrey Parkway
E00088,"ABREU,  EDWIN ",TREE TRIMMER,1/25/1983,M,"42,902.00",14%,725261746,25 Melrose Alley
E00089,"ABREU,  ROBERTO J",TRAFFIC SIGNAL REPAIRMAN,12/24/1973,F,"123,762.00",10%,767092682,79 Coleman Center
E00090,"ABREU,  ROSITA ",PERSONAL COMPUTER OPERATOR III,6/26/1972,F,"92,251.00",10%,7655055,4641 Cardinal Terrace
E00091,"ABREU,  VICTOR ",FIREFIGHTER-EMT,8/11/1993,M,"125,976.00",9%,718796702,508 Vernon Terrace
E00092,"ABRON,  FLOYD ",POLICE OFFICER,4/23/1992,F,"143,579.00",13%,761777146,788 Schurz Hill
E00093,"ABRONS,  KENNETH L",ELECTRICAL MECHANIC,5/6/1973,M,"93,472.00",12%,776814860,94358 Gina Hill
E00094,"ABUBAKER,  MOHAMMED G",SENIOR ENVIRONMENTAL INSPECTOR,10/3/1980,F,"73,472.00",11%,717585246,1 Arrowood Avenue
E00095,"ABUDAYEH,  ELIAS ",POLICE OFFICER,1/24/1982,F,"141,146.00",12%,726104522,64222 Stone Corner Hill
E00096,"ABUHASHISH,  AWWAD ",PLUMBER,10/11/1972,M,"76,160.00",10%,724281346,37 Prairieview Parkway
E00097,"ABURIZEG,  MOHAMMAD ",POLICE OFFICER,6/13/1988,F,"109,689.00",13%,765188939,77513 Prentice Point
E00098,"ABUTALEB,  AHMAD H",CIVIL ENGINEER II,11/25/1976,F,"62,780.00",15%,723121222,58 Green Court
E00099,"ABUZANAT,  ABDALLA H",POLICE OFFICER (ASSIGNED AS EVIDENCE TECHNICIAN),2/23/1992,F,"53,187.00",8%,778436423,7610 Hovde Street
E00100,"ACCARDO,  ANTHONY D",CONSTRUCTION LABORER,11/5/1990,M,"88,288.00",11%,767943688,74 Miller Pass
E00101,"ACCARDO,  ANTHONY V",POLICE OFFICER,1/2/1991,F,"46,694.00",13%,777781740,7489 Springview Alley
E00102,"ACCARDO,  JENNIFER A",POLICE OFFICER,4/15/1976,F,"42,590.00",13%,712970116,49704 Myrtle Parkway
E00103,"ACCARDO,  THOMAS J",POLICE OFFICER,6/5/1979,M,"60,408.00",11%,721222287,93 Shasta Avenue
E00104,"ACCIARI,  MICHAEL G",DIVISION SUPERINTENDENT,7/23/1980,M,"136,783.00",11%,717621670,88 Oak Valley Road
E00105,"ACCIARI,  NICHOLAS B",MOTOR TRUCK DRIVER,2/22/1989,F,"119,990.00",14%,77278333,6 Cody Road
E00106,"ACCURSO,  MARY K",PRESS AIDE I,1/14/1981,F,"48,808.00",11%,772761151,80477 Melby Circle
E00107,"ACEVEDO,  AARON F",POLICE OFFICER,6/30/1990,M,"63,081.00",13%,725568724,3033 Roth Circle
E00108,"ACEVEDO,  ALEJANDRO R",POLICE OFFICER,8/18/1983,M,"113,762.00",15%,71776489,4180 Donald Place
E00109,"ACEVEDO,  BIENVENIDO ",POLICE OFFICER,7/24/1981,F,"46,299.00",10%,716641595,932 Prentice Lane
E00110,"ACEVEDO,  DAVID M",POLICE OFFICER,1/21/1983,F,"92,702.00",8%,712531876,41552 Killdeer Lane
E00111,"ACEVEDO,  EDWARD ",POLICE OFFICER,6/19/1993,M,"136,988.00",12%,779426581,8 North Crossing
E00112,"ACEVEDO,  EDWIN C",FIREFIGHTER,3/28/1973,M,"147,914.00",9%,718734260,6 Becker Place
E00113,"ACEVEDO,  ERIC ",POLICE OFFICER,10/3/1973,M,"133,170.00",13%,762516082,83 Pleasure Terrace
E00114,"ACEVEDO,  GILBERT ",LIEUTENANT-EMT,6/18/1993,F,"44,740.00",11%,777519663,9835 Mifflin Parkway
E00115,"ACEVEDO,  ILIA ",POLICE OFFICER,11/18/1994,M,"75,870.00",9%,718640561,036 Logan Street
E00116,"ACEVEDO,  JANETE ",POLICE OFFICER,4/10/1987,M,"119,727.00",12%,775571172,6993 Pankratz Circle
E00117,"ACEVEDO,  JASON M",POLICE OFFICER,11/30/1972,M,"58,193.00",14%,779867426,5 Dottie Drive
E00118,"ACEVEDO,  JAVIER ",ASPHALT LABORER,2/19/1984,F,"111,440.00",14%,769284872,9791 Pleasure Street
E00119,"ACEVEDO,  JEFF ",POLICE OFFICER,2/12/1993,M,"125,194.00",12%,721767072,2 Manufacturers Center
E00120,"ACEVEDO,  JOSUE ",POLICE COMMUNICATIONS OPERATOR II,5/30/1979,M,"126,209.00",9%,729275638,90739 Dawn Alley
E00121,"ACEVEDO,  MANUEL A",FIREFIGHTER,12/5/1986,M,"70,322.00",14%,779087503,1 La Follette Junction
E00122,"ACEVEDO,  MARCO A",POLICE OFFICER (ASSIGNED AS DETECTIVE),7/2/1979,M,"103,798.00",14%,714745264,1 Maywood Parkway
E00123,"ACEVEDO,  MARISOL ",SENIOR PUBLIC INFORMATION OFFICER,2/20/1993,F,"139,268.00",12%,766695966,68 Moland Place
E00124,"ACEVEDO,  MARTIN J",POLICE OFFICER,7/24/1988,M,"93,890.00",10%,722897631,26017 Bay Parkway
E00125,"ACEVEDO,  MIKE ",AVIATION SECURITY OFFICER,10/8/1979,M,"58,110.00",15%,767205179,2834 Clarendon Alley
E00126,"ACEVEDO,  NADINE M",POLICE OFFICER,3/27/1986,M,"81,511.00",8%,778934350,7 Beilfuss Street
E00127,"ACEVEDO,  RAFAEL ",POLICE OFFICER,10/19/1974,F,"138,150.00",9%,728920060,93054 Melvin Circle
E00128,"ACEVEDO,  STEVEN A",POOL MOTOR TRUCK DRIVER,8/12/1991,F,"60,335.00",14%,726102649,65 Sutherland Point
E00129,"ACEVES,  JUAN C",POLICE OFFICER,3/6/1970,M,"99,643.00",12%,77962592,6 International Point
E00130,"ACEVEZ,  ANTHONY E",POLICE OFFICER,3/15/1988,M,"52,815.00",15%,766614864,03420 Hazelcrest Road
E00131,"ACHILLES,  AMBER L",CHIEF ASST CORPORATION COUNSEL,6/15/1980,M,"40,421.00",14%,713489374,63562 Comanche Terrace
E00132,"ACHILLY,  LISA S",POLICE OFFICER,10/11/1979,M,"69,202.00",15%,768101551,832 Corry Junction
E00133,"ACHTEL,  SCOTT R",FIREFIGHTER-EMT,12/27/1982,M,"107,775.00",10%,722142484,833 Corscot Junction
E00134,"ACKERMANN,  MICHAEL A",PARAMEDIC I/C,10/21/1991,F,"141,542.00",10%,76791639,46 Loomis Terrace
E00135,"ACOSTA,  JAIME A",POLICE OFFICER,2/10/1981,F,"101,305.00",9%,773963512,85 Springs Park
E00136,"ACOSTA,  JESSE A",POLICE OFFICER,2/25/1987,M,"119,665.00",10%,763387984,91 Blackbird Junction
E00137,"ACOSTA,  MARK ",POLICE OFFICER,8/15/1991,F,"82,451.00",14%,715006419,2563 Cordelia Circle
E00138,"ACOSTA,  MARTHA A",LIBRARY ASSOCIATE,1/24/1979,M,"99,991.00",14%,762909082,9 Saint Paul Pass
E00139,"ACOSTA,  MICHELE D",POLICE OFFICER,6/12/1970,F,"133,261.00",14%,725524448,3774 Trailsway Trail
E00140,"ACOSTA,  NATALIE ",POLICE OFFICER,8/10/1978,F,"142,182.00",12%,764783815,645 Onsgard Court
E00141,"ACOSTA,  PABLO S",SANITATION LABORER,3/23/1991,F,"72,741.00",9%,765043987,56 Golf Alley
E00142,"ACOSTA,  ROSA M",PARKING ENFORCEMENT AIDE,2/23/1993,M,"104,938.00",12%,717040814,2519 Park Meadow Plaza
E00143,"ACRES,  ANTHONY E",CONSTRUCTION LABORER,12/15/1993,F,"104,101.00",12%,726096494,8 Fremont Junction
E00144,"ACSVECS,  ZAIREH ",POLICE OFFICER,8/4/1982,M,"141,126.00",15%,715785397,99591 Kingsford Pass
E00145,"ADAIR,  KENNETH R",POLICE OFFICER (ASGND AS MARINE OFFICER),11/29/1982,F,"121,254.00",8%,772444339,259 South Parkway
E00146,"ADAIR,  STEVEN ",SANITATION LABORER,7/16/1993,F,"75,021.00",14%,763037893,1 Hollow Ridge Hill
E00147,"ADAMCZYK JR,  JAN ",BOOTER - PARKING,1/12/1979,M,"73,862.00",14%,719083281,0342 Carey Way
E00148,"ADAMCZYK,  LAWRENCE M",FIREFIGHTER,9/9/1973,F,"42,826.00",15%,767075981,858 Dryden Street
E00149,"ADAME,  PEDRO ",CUSTODIAL WORKER,1/3/1987,F,"114,274.00",11%,716127501,8 Division Center
E00150,"ADAMIAK,  SIMON P",POLICE OFFICER,3/27/1987,M,"61,384.00",10%,778595955,91077 Sherman Road
E00151,"ADAMIK,  JEFFREY S",POLICE OFFICER (ASSIGNED AS DETECTIVE),7/13/1992,F,"137,700.00",8%,767946016,58498 Laurel Point
E00152,"ADAMIK,  MATTHEW W",FIREFIGHTER/PARAMEDIC,1/9/1990,M,"82,986.00",9%,718622134,61654 Carioca Plaza
E00153,"ADAM,  MICHAEL A",MOTOR TRUCK DRIVER,7/23/1973,M,"134,618.00",13%,718328464,588 Marcy Trail
E00154,"ADAMOW,  JEFFREY W",FIREFIGHTER-EMT,5/13/1989,M,"95,223.00",13%,727842704,0 Parkside Point
E00155,"ADAMS,  CRAIG W",POLICE OFFICER,4/3/1994,F,"47,083.00",15%,716968616,4 Trailsway Park
E00156,"ADAMS,  DAVID E",SPECIAL EVENTS COORD III,11/5/1989,M,"95,396.00",9%,725982525,7314 Dottie Park
E00157,"ADAMS,  DEANIE M",LIBRARIAN II,8/8/1993,M,"42,823.00",9%,717467658,2 Glendale Junction
E00158,"ADAMS,  DELRICE ",PUBLIC HEALTH ADMINISTRATOR III,6/12/1986,F,"102,437.00",10%,724461379,0 Prairie Rose Place
E00159,"ADAMS,  DENIS H",CLINICAL THERAPIST III,11/21/1983,M,"65,409.00",9%,716775289,9 Lakewood Gardens Hill
E00160,"ADAMS,  DWAYNE D",POLICE OFFICER,10/18/1985,M,"123,482.00",10%,711256800,67 Melrose Street
E00161,"ADAMS,  ERWIN ",ASPHALT LABORER,8/13/1986,F,"96,685.00",12%,7775573,57 Little Fleur Terrace
E00162,"ADAMS,  EULA M",DATA ENTRY OPERATOR,10/2/1987,F,"139,698.00",10%,723252580,18 Bashford Place
E00163,"ADAMS,  FREDERICK L",POLICE ADMINISTRATIVE CLERK,12/24/1973,M,"103,291.00",10%,726957284,9 Westport Point
E00164,"ADAMS,  GARY W",SANITATION LABORER,5/7/1973,M,"141,706.00",10%,761690243,04 Grover Alley
E00165,"ADAMS,  GREGORY M",AVIATION SECURITY OFFICER,4/19/1993,M,"56,664.00",8%,765895336,66 Northview Avenue
E00166,"ADAMS,  GREGORY W",ADMINISTRATIVE ASST III,12/13/1988,M,"113,067.00",10%,762156601,217 Comanche Street
E00167,"ADAMS,  JAIRUS ",POLICE OFFICER,3/10/1994,M,"42,587.00",12%,77329486,05040 Mesta Terrace
E00168,"ADAMS,  JAMES W",POLICE OFFICER (ASSIGNED AS DETECTIVE),1/4/1976,M,"60,448.00",15%,774386548,13 Jana Parkway
E00169,"ADAMS JR,  JERRY M",POLICE OFFICER,8/21/1973,F,"114,610.00",14%,711891530,588 Oak Valley Way
E00170,"ADAMS JR,  JOHN W",FIREFIGHTER-EMT,3/9/1989,F,"149,425.00",10%,719428428,43 Clarendon Way
E00171,"ADAMSKI,  JERRY J",FIREFIGHTER-EMT (RECRUIT),6/25/1988,F,"92,891.00",11%,724323906,926 Bluestem Avenue
E00172,"ADAMSKI,  ROBERT ",POLICE OFFICER,2/24/1974,M,"73,511.00",10%,765657562,5150 Melvin Hill
E00173,"ADAMS,  KRYSTA ",GENERAL LABORER - DSS,8/16/1982,M,"113,292.00",10%,775220226,62226 Morrow Court
E00174,"ADAMS,  LEAH ",ACCOUNTING TECHNICIAN II,9/27/1983,F,"113,605.00",8%,712372283,2 Steensland Alley
E00175,"ADAMS,  MATTHEW ",POLICE OFFICER,1/1/1971,M,"147,849.00",14%,721524282,4432 Pine View Center
E00176,"ADAMS,  MICHAEL A",POLICE OFFICER (ASSIGNED AS DETECTIVE),10/1/1983,M,"52,942.00",8%,772267348,308 Butterfield Alley
E00177,"ADAMS,  MICHAEL J",WATCHMAN,6/15/1976,F,"49,806.00",12%,714777387,3136 Granby Place
E00178,"ADAMS,  OLIVIA I",LEGAL SECRETARY,4/3/1986,F,"94,086.00",8%,715132142,580 Monica Park
E00179,"ADAMS,  QUAN R",MOTOR TRUCK DRIVER,12/23/1982,F,"52,663.00",14%,76206896,95 Drewry Alley
E00180,"ADAMS,  RAYMOND B",SR PROCUREMENT SPECIALIST,10/29/1982,M,"85,104.00",8%,76309076,9 Marcy Crossing
E00181,"ADAMS,  RAYMOND T",LIEUTENANT-EMT,9/23/1977,F,"143,446.00",9%,766201303,6 2nd Plaza
E00182,"ADAMS,  REGINALD K",PLUMBING INSPECTOR,6/11/1979,M,"141,510.00",14%,714279863,450 Amoth Lane
E00183,"ADAMS,  ROBERT L",VENTILATION AND FURNACE INSPECTOR,9/4/1984,F,"97,044.00",9%,718875641,400 Shoshone Pass
E00184,"ADAMS,  RYAN ",POLICE OFFICER,8/20/1982,M,"107,307.00",12%,769251750,250 Bultman Court
E00185,"ADAMS,  SHEILA ",GENERAL LABORER - DSS,4/25/1994,M,"143,802.00",11%,775158873,61923 Novick Point
E00186,"ADAMS,  SHERYLL A",LIBRARIAN IV,3/20/1977,M,"111,046.00",15%,729284106,34 Veith Alley
E00187,"ADAMS,  STANLEY ",SUPVSR OF COMPENSATION,2/1/1971,M,"103,208.00",10%,721611124,86 Merry Center
E00188,"ADAMS,  TANERA C",CIVIL ENGINEER IV,5/10/1971,M,"71,340.00",12%,761915754,31960 Cambridge Crossing
E00189,"ADAMS THOMAS,  CHEEAREASE R",PUBLIC HEALTH ADMINISTRATOR I,5/23/1970,M,"96,524.00",14%,763520915,14 Florence Court
E00190,"ADAMS,  TIMOTHY J",POLICE OFFICER (ASSIGNED AS DETECTIVE),7/20/1982,F,"138,843.00",9%,772483545,2 International Drive
E00191,"ADAMS,  VICKY M",POLICE OFFICER,3/25/1993,M,"105,297.00",10%,716507907,2087 Kingsford Avenue
E00192,"ADAPON,  NENITA P",ACCOUNTING TECHNICIAN I,4/22/1987,F,"49,387.00",11%,773223499,0 Village Green Terrace
E00193,"ADCOCK,  DAVID G",POLICE OFFICER / FLD TRNG OFFICER,2/12/1972,F,"142,658.00",8%,724134648,9 Sundown Terrace
E00194,"ADCOCK,  TOMMY W",CONCRETE LABORER,6/9/1989,M,"75,988.00",13%,711080028,4235 Grim Drive
E00195,"ADDANTE,  VINCENZO ",POOL MOTOR TRUCK DRIVER,12/6/1973,F,"87,600.00",10%,722471907,2 High Crossing Place
E00196,"ADDISON,  LATASHA D",LIBRARY CLERK,6/21/1983,F,"114,345.00",15%,729253005,080 Bonner Junction
E00197,"ADDISON,  LEWIS ",LIBRARY ASSOCIATE,6/10/1984,M,"84,969.00",10%,766595219,003 Carberry Terrace
E00198,"ADEBAYO,  BENJAMIN B",BUILDING/CONSTRUCTION INSPECTOR,5/17/1983,M,"75,731.00",14%,76982022,3 Victoria Terrace
E00199,"ADE,  JAMES P",POLICE OFFICER,4/28/1978,F,"116,172.00",13%,775375927,8808 Gina Hill
E00200,"ADE,  JAMES P",SERGEANT,10/6/1972,M,"52,278.00",8%,719809787,7 Katie Way
E00201,"ADEKA,  IBILOLA I",SUPERVISING DISEASE CONTROL INVESTIGATOR - EXCL,6/2/1970,F,"71,198.00",9%,727849128,77976 Park Meadow Junction
E00202,"ADELAKUN,  NIKTE E",POLICE OFFICER,1/15/1991,F,"88,751.00",8%,717703862,5367 Bayside Plaza
E00203,"ADELIZZI,  JOY A",DEPUTY COMMISSIONER,4/29/1979,M,"46,603.00",10%,775324038,0613 Bunting Place
E00204,"ADELMAN,  BRUCE E",LEGISLATIVE AIDE,4/19/1987,F,"68,897.00",11%,728457795,163 Macpherson Avenue
E00205,"ADENI,  MOHAMED K",ACCOUNTANT IV,10/9/1971,M,"148,792.00",12%,719085757,1908 Waywood Road
E00206,"ADESANYA,  EMMANUEL S",ENVIRONMENTAL ENGINEER III,3/29/1979,M,"127,855.00",13%,712142417,76928 Grasskamp Point
E00207,"ADEWOLE,  KAREEM A",CONSTRUCTION LABORER,9/24/1976,M,"126,329.00",12%,717663829,17 East Point
E00208,"ADEYEMO,  HORATIO A",CIVIL ENGINEER III,1/14/1977,F,"69,444.00",8%,763829941,13 Doe Crossing Avenue
E00209,"ADEYEMO,  MOJIROLA M",PUBLIC HEALTH ADMINISTRATOR I,2/26/1988,M,"79,848.00",14%,774579384,64 Algoma Junction
